epoch,train_loss,test_loss,learning_rate
0,0.0063223303416371345,0.005479888354241848,0.001
1,0.0054869816745817665,0.005473721077889204,0.001
2,0.005686093815267086,0.005539656939357519,0.001
3,0.00548808808863163,0.005466634758114815,0.001
4,0.005489676923453808,0.005651924160569906,0.001
5,0.005498526870161295,0.005431603367328644,0.001
6,0.005474798147082328,0.005528130242228508,0.001
7,0.005436247249990702,0.005389476967602968,0.001
8,0.005416460406631231,0.005413128567188978,0.001
9,0.005414185631871223,0.005475150404572487,0.001
10,0.005405634739696979,0.0054035151390731334,0.001
11,0.005435260973274708,0.00548073024764657,0.001
12,0.00544148653626442,0.005417566840648651,0.001
13,0.005444466768354177,0.005400705066919326,0.0005
14,0.005372185121476651,0.0053620751377940175,0.0005
15,0.005363495883345604,0.005379639592021704,0.0005
16,0.005368429955691099,0.005361932940632105,0.0005
17,0.005380107170790434,0.005360636341869831,0.0005
18,0.005366922730356455,0.005369682558625937,0.0005
19,0.005369404314309358,0.005376249271929264,0.0005
20,0.0053606423278152945,0.0053737506929039955,0.0005
21,0.005358089425712824,0.005361842775046826,0.0005
22,0.005353542800694704,0.0053567766785621645,0.0005
23,0.005372185296565295,0.005372669000327587,0.0005
24,0.005364792826771736,0.0053678584814071655,0.0005
25,0.005372584304213524,0.005369691351503134,0.0005
26,0.005371666003316641,0.00534902885004878,0.0005
27,0.005363483547717333,0.005385947971642017,0.0005
28,0.005441706524938345,0.005421748350411653,0.0005
29,0.005398461489975453,0.005405992136746645,0.0005
